Country,Year,population,Country_ID,latitude,longitude,GDP,TotalGDP
Qatar,2018,2580734,QA,25.35483,51.18388,183335000000.0,2909267000000.0
Romania,2018,19473970,RO,45.94316,24.96676,243651000000.0,4831843000000.0
Saudi Arabia,2018,30196281,SA,23.88594,45.07916,846584000000.0,13866012000000.0
Senegal,2018,15914498,SN,14.4974,-14.45236,23127000000.0,436120000000.0
Seychelles,2018,96762,SC,-4.67957,55.49198,1777000000.0,27628000000.0
Sierra Leone,2018,7554563,SL,8.46056,-11.77989,6390000000.0,104391000000.0
Singapore,2018,5638676,SG,1.35208,103.81984,377124000000.0,6868048000000.0
Somalia,2018,15452487,SO,5.15215,46.19962,7873000000.0,165414000000.0
South Africa,2018,58613001,ZA,-30.55948,22.93751,405093000000.0,5432048000000.0
Spain,2018,46782011,ES,40.46367,-3.74922,1432292000000.0,22380822000000.0
Sri Lanka,2018,21670000,LK,7.87305,80.7718,94484000000.0,613683000000.0
Sudan,2018,44230596,SD,12.86281,30.21764,33590000000.0,496079000000.0
Sweden,2018,10175214,SE,60.12816,18.6435,551312000000.0,8187067000000.0
Switzerland,2018,8514329,CH,46.81819,8.22751,725910000000.0,11981294000000.0
Thailand,2018,71376079,TH,15.87003,100.99254,506754000000.0,7122497000000.0
Togo,2018,8258778,TG,8.61954,0.82478,7033000000.0,129364000000.0
Tunisia,2018,11765514,TN,33.88692,9.5375,42687000000.0,676775000000.0
Uganda,2018,41565831,UG,1.37333,32.29028,34126000000.0,808885000000.0
Ukraine,2018,45208907,UA,48.37943,31.16558,130905000000.0,2633063000000.0
United Arab Emirates,2018,9346701,AE,23.42408,53.84782,427049000000.0,6990436000000.0
United Kingdom,2018,66289000,GB,55.37805,-3.43597,2875024000000.0,47946865000000.0
United States,2018,328529577,US,37.09024,-95.71289,20656525000000.0,372518938000000.0
Uruguay,2018,3394534,UY,-32.52278,-55.76584,65370000000.0,1030856000000.0
Zambia,2018,17973569,ZM,-13.1339,27.84933,26312000000.0,417660000000.0
Zimbabwe,2018,15034452,ZW,-19.01544,29.15486,36922000000.0,478978000000.0
Albania,2019,2854191,AL,41.15333,20.16833,15582000000.0,330104000000.0
Algeria,2019,43294546,DZ,28.03389,1.65963,193361000000.0,3145938000000.0
Angola,2019,32375632,AO,-11.20269,17.87389,94671000000.0,1439229000000.0
Argentina,2019,44973465,AR,-38.4161,-63.61667,446762000000.0,8094978000000.0
Australia,2019,25334826,AU,-25.2744,133.77514,1386277000000.0,22874963000000.0
Austria,2019,8879920,AT,47.51623,14.55007,443033000000.0,6804768000000.0
Bangladesh,2019,164913055,BD,23.68499,90.35633,351238000000.0,6383522000000.0
Belgium,2019,11488980,BE,50.50389,4.46994,536787000000.0,8535322000000.0
Benin,2019,12726755,BJ,9.30769,2.31583,14392000000.0,284260000000.0
Bosnia and Herzegovina,2019,3345533,BA,43.91589,17.67908,20483000000.0,361674000000.0
Botswana,2019,2332083,BW,-22.32847,24.68487,16696000000.0,268304000000.0
Brazil,2019,207455459,BR,-14.235,-51.92528,1873286000000.0,27498145000000.0
Bulgaria,2019,6616726,BG,42.73388,25.48583,68639000000.0,1394653000000.0
Burkina Faso,2019,20961952,BF,12.23833,-1.56159,16092000000.0,331865000000.0
Burundi,2019,12255336,BI,-3.37306,29.91889,3009000000.0,80087000000.0
Cambodia,2019,16481304,KH,12.56568,104.99096,36682000000.0,630254000000.0
Cameroon,2019,25506095,CM,7.36972,12.35472,39673000000.0,716538000000.0
Canada,2019,37618495,CA,56.13037,-106.34677,1743725000000.0,28738085000000.0
Central African Republic,2019,4944703,CF,6.61111,20.93944,2279000000.0,39145000000.0
Chad,2019,16685223,TD,15.45417,18.73221,14906000000.0,245349000000.0
Chile,2019,19197744,CL,-35.67515,-71.54297,278040000000.0,4402607000000.0
Colombia,2019,49907985,CO,4.57087,-74.29733,323055000000.0,5249421000000.0
Costa Rica,2019,4999553,CR,9.74892,-83.75343,64412000000.0,1220181000000.0
Cyprus,2019,1286671,CY,35.12641,33.42986,26200000000.0,469995000000.0
Denmark,2019,5814422,DK,56.26392,9.50179,345402000000.0,5720441000000.0
Djibouti,2019,1088709,DJ,11.82514,42.59028,3089000000.0,57624000000.0
Dominican Republic,2019,10894043,DO,18.73569,-70.16265,89237000000.0,1615196000000.0
Ecuador,2019,17340021,EC,-1.83124,-78.18341,107596000000.0,1608553000000.0
El Salvador,2019,6222318,SV,13.79419,-88.89653,26881000000.0,456899000000.0
Finland,2019,5521606,FI,61.92411,25.74815,267044000000.0,3972166000000.0
France,2019,67382061,FR,46.22764,2.21375,2723094000000.0,41002981000000.0
